Title,Distr,TMDB Movie ID,Genre 1,Genre 2,Popularity (%),Runtime (minutes),Average Vote
Evil Aliens,Contentfilm,10177,Comedy,Horror,4.234,93.0,5.5
These Foolish Things,Swipe,56193,Comedy,Drama,2.72,107.0,6.3
The Road to Guantanamo,Revelation,7872,Documentary,Drama,6.699,95.0,6.9
The Pink Panther,20th Fox,12096,Comedy,Family,21.734,93.0,5.9
V for Vendetta,Warner,752,Action,Thriller,39.431,132.0,7.9
Tsotsi,Momentum,868,Crime,Drama,7.463,94.0,6.9
In My Country,Sony,16635,Romance,Drama,4.422,103.0,6.6
Inside Man,UIP,388,Crime,Drama,27.397,129.0,7.4
The Boys from County Clare,Lions Gate,1589,Romance,Comedy,4.877,91.0,6.2
The Shaggy Dog,BVI,10067,Comedy,Family,11.478,98.0,4.9
The Three Burials of Melquiades Estrada,Optimum,8053,Adventure,Crime,8.829,121.0,7.1
The White Countess,Sony,18840,Drama,History,7.251,135.0,6.7
Shooting Dogs,Metrodome,8588,Drama,History,6.785,115.0,7.4
She's the Man,Entertainment,9655,Comedy,Drama,23.78,105.0,6.8
Alien Autopsy,Warner,9773,Comedy,Science Fiction,7.567,95.0,5.6
The Squid and the Whale,Sony,10707,Comedy,Drama,11.121,81.0,7.0
Take the Lead,Entertainment,12763,Comedy,Music,13.069,108.0,6.9
An American Haunting,Lionsgate,10008,Horror,Thriller,10.01,83.0,5.6
Humko Deewana Kar Gaye,UTV Comm,48569,Drama,Romance,3.829,152.0,4.9
Junebug,Miracle,1444,Comedy,Drama,8.88,106.0,6.8
Silent Hill,Pathe,588,Horror,Mystery,45.383,125.0,6.5
American Dreamz,UIP,9310,Comedy,Drama,7.711,107.0,4.9
Eight Below,BVI,9036,Adventure,Drama,33.645,120.0,7.0
C.R.A.Z.Y.,Soda,11421,Drama,Comedy,6.978,127.0,7.6
Rollin' with the Nines,Maiden Voyage,10084,Action,Crime,2.366,96.0,4.6
U-Carmen eKhayelitsha,Tartan,79706,Music,Drama,0.659,122.0,5.7
16 Blocks,Warner,2207,Action,Adventure,28.4,102.0,6.4
Slither,Entertainment,9035,Horror,Science Fiction,18.245,95.0,6.5
Mission: Impossible III,UIP,956,Adventure,Action,29.209,126.0,6.7
Confetti,20th Fox,10111,Comedy,Romance,4.579,100.0,6.0
The Magician,Miracle,14096,Comedy,Drama,3.45,85.0,6.5
X-Men: The Last Stand,20th Fox,36668,Adventure,Action,1.803,104.0,6.4
The Wild,BVI,9904,Family,Animation,52.647,95.0,5.5
Friends with Money,Sony,8998,Comedy,Drama,11.264,88.0,5.1
Down in the Valley,Icon,7870,Drama,Romance,5.893,112.0,5.9
The Da Vinci Code,Sony,591,Thriller,Mystery,25.601,149.0,6.7
Poseidon,Warner,503,Adventure,Action,25.108,98.0,5.8
United 93,UIP,9829,Drama,History,19.94,111.0,7.1
RV,Sony,9530,Family,Comedy,22.473,99.0,5.9
Secuestro Express,BVI,25956,Drama,Action,2.797,86.0,6.6
The Fast and the Furious: Tokyo Drift,UIP,9615,Action,Crime,9.372,104.0,6.4
Hard Candy,Lionsgate,2652,Drama,Thriller,13.859,103.0,6.8
Thank You for Smoking,20th Fox,9388,Comedy,Drama,14.563,92.0,7.2
Things to Do Before You're 30,Momentum,14187,Comedy,Drama,3.201,101.0,5.6
Fearless,UIP,726664,Family,Animation,29.026,89.0,6.2
Ultraviolet,Sony,9920,Science Fiction,Action,11.228,87.0,5.2
Aquamarine,20th Fox,14191,Fantasy,Romance,18.961,104.0,6.3
Half Light,UIP,9756,Thriller,Horror,12.655,110.0,6.0
Over the Hedge,UIP,7518,Family,Comedy,30.825,83.0,6.5
Just My Luck,20th Fox,10025,Comedy,Drama,18.072,103.0,6.1
Reeker,Pathe,14457,Horror,Mystery,7.253,90.0,5.8
District 13,Momentum,650769,Thriller,Mystery,0.6,13.0,0.0
Superman Returns,Warner,1452,Science Fiction,Action,38.121,154.0,5.7
The Break-Up,UIP,9767,Romance,Comedy,19.846,106.0,5.8
Stormbreaker,Entertainment,9978,Adventure,Action,10.448,93.0,5.2
Little Fish,Tartan,586791,Romance,Science Fiction,10.113,101.0,7.2
Cars,BVI,920,Animation,Adventure,57.25,117.0,6.9
Stay Alive,UIP,10069,Horror,Thriller,20.261,100.0,5.8
Angel-A,Optimum,11227,Romance,Comedy,8.034,91.0,6.9
Renaissance,Pathe,9389,Action,Animation,8.477,105.0,6.5
Miami Vice,UIP,82,Action,Crime,19.31,132.0,5.9
My Super Ex-Girlfriend,20th Fox,4474,Comedy,Science Fiction,11.417,95.0,5.0
Monster House,Sony,9297,Animation,Comedy,63.153,91.0,6.6
Nacho Libre,UIP,9353,Comedy,Family,38.626,92.0,6.2
Lady in the Water,Warner,9697,Drama,Fantasy,11.428,110.0,5.5
Tideland,Revolver,11559,Fantasy,Drama,8.134,120.0,6.5
Wilderness,Momentum,11494,Horror,Action,7.578,94.0,6.1
Snakes on a Plane,Entertainment,326,Action,Crime,22.12,105.0,5.3
John Tucker Must Die,20th Fox,9293,Comedy,Romance,13.542,87.0,6.2
Harsh Times,Pathe,7873,Crime,Drama,10.625,116.0,6.4
A Scanner Darkly,Warner,3509,Animation,Science Fiction,15.703,100.0,6.8
Volver,Pathe,219,Comedy,Drama,10.533,121.0,7.5
The Sentinel,20th Fox,5820,Action,Thriller,12.961,108.0,6.0
Adrift,Pathe ,429300,Thriller,Romance,34.153,96.0,6.9
Little Miss Sunshine,20th Fox,773,Comedy,Drama,18.826,102.0,7.7
Pulse,UIP,9682,Horror,Thriller,10.321,90.0,5.0
Severance,Pathe,5072,Horror,Comedy,9.982,96.0,6.3
Snow Cake,Momentum,313,Romance,Drama,6.851,112.0,7.1
Driving Lessons,Tartan,11404,Comedy,Drama,7.65,98.0,6.2
The Queen,Pathe,1165,Drama,History,17.752,103.0,7.0
The Black Dahlia,Entertainment,9676,Drama,Crime,15.499,121.0,5.7
The Night Listener,Icon,9782,Drama,Thriller,8.624,91.0,5.6
Little Man,Sony ,9072,Comedy,Crime,50.997,98.0,5.9
Trust the Man,Icon,14057,Comedy,Drama,7.47,103.0,5.3
Click,Sony ,9339,Comedy,Drama,31.137,107.0,6.2
Children of Men,UIP,9693,Drama,Action,36.078,109.0,7.6
Life and Lyrics,UIP,75743,Drama,Romance,1.902,99.0,5.0
The Devil Wears Prada,20th Fox,350,Comedy,Drama,58.338,109.0,7.4
The Departed,Entertainment,1422,Drama,Thriller,32.237,151.0,8.2
Nina's Heavenly Delights,Verve,12808,Romance,Comedy,5.516,94.0,6.7
Open Season,Sony ,7484,Animation,Family,30.022,86.0,6.1
Stick It,BVI,10115,Comedy,Drama,8.602,105.0,6.8
The Guardian,BVI,4643,Drama,Action,23.439,139.0,7.1
The Grudge 2,UIP,1975,Horror,Thriller,26.668,102.0,5.5
The Last Kiss,Momentum,7511,Comedy,Drama,7.282,115.0,6.0
Marie Antoinette,Sony ,1887,Drama,History,20.284,123.0,6.6
Brothers of the Head,Tartan,16429,Music,Drama,3.134,93.0,6.3
Saw III,Lions Gate UK,214,Horror,Thriller,64.61,114.0,6.4
Step Up,UIP,9762,Music,Drama,31.251,104.0,6.9
The History Boys,20th Fox,8618,Comedy,Drama,9.332,109.0,6.7
A Good Year,20th Fox,9726,Comedy,Drama,16.507,117.0,6.7
Red Road,Verve,11705,Drama,Thriller,6.407,113.0,6.4
Snuff-Movie,Lions Gate,22619,Horror,Thriller,3.814,92.0,4.5
Mischief Night,Verve,228676,Horror,Drama,6.192,87.0,5.0
The Prestige,Warner Bros,1124,Drama,Mystery,32.546,130.0,8.2
Casino Royale,Sony ,36557,Adventure,Action,53.12,144.0,7.5
A Tiger's Tale,BVI,86547,Comedy,Drama,3.1,97.0,5.2
Hollywoodland,BVI,1249,Thriller,Crime,9.91,126.0,6.1
Flushed Away,UIP,11619,Adventure,Animation,31.787,85.0,6.2
Deck the Halls,20th Fox,9969,Comedy,Family,18.567,93.0,5.4
Big Nothing,Pathe,9843,Action,Comedy,7.056,86.0,6.5
London to Brighton,Vertigo,14823,Crime,Drama,4.779,85.0,6.4
Happy Feet,Warner,9836,Animation,Comedy,52.581,108.0,6.1
The Holiday,UIP,1581,Comedy,Romance,23.28,136.0,7.1
The Covenant,Sony ,9954,Fantasy,Horror,15.179,97.0,5.5
The Nativity Story,Entertainment,2447,Drama,History,18.037,101.0,6.9
Eragon,20th Fox,2486,Fantasy,Action,25.582,104.0,5.0
Déjà Vu,BVI,7551,Action,Thriller,23.875,126.0,6.8
Black Christmas,Pathe,9656,Horror,Thriller,13.133,84.0,5.1
Kabul Express,Yash Raj,30244,Action,Comedy,2.183,104.0,5.6
Deep Water,Pathe,15030,Documentary,Adventure,4.393,92.0,7.3
The West Wittering Affair,Yeh Yeh Yeh,72761,Comedy,Romance,0.6,92.0,4.0
Night at the Museum,20th Fox,1593,Action,Adventure,25.641,108.0,6.5
It's a Boy Girl Thing,Icon,37725,Comedy,Fantasy,10.043,95.0,6.5
White Noise,Entertainment,11804,Drama,Horror,11.08,101.0,5.6
Alexander,Warner,1966,War,History,26.029,175.0,5.9
The Incredibles,BVI,9806,Action,Adventure,87.379,115.0,7.7
Lemony Snicket's A Series of Unfortunate Events,UIP,11774,Adventure,Comedy,23.372,108.0,6.8
National Treasure,BVI,2059,Adventure,Action,26.984,131.0,6.6
Without a Paddle,UIP,10762,Comedy,Action,8.486,95.0,5.5
The Phantom of the Opera,Entertainment,9833,Thriller,Drama,14.663,143.0,7.3
The Polar Express,Warner,5255,Animation,Family,74.493,100.0,6.7
Bridget Jones: The Edge of Reason,UIP,9801,Comedy,Romance,19.53,108.0,6.3
Blade: Trinity,Entertainment,36648,Action,Horror,45.235,123.0,5.9
Garden State,BVI,401,Comedy,Drama,10.124,102.0,7.1
The Merchant of Venice,Optimum,11162,Drama,Romance,9.991,132.0,6.8
Ladies in Lavender,Entertainment,9528,Drama,Romance,7.574,104.0,6.4
Enduring Love,Pathe,9391,Drama,Thriller,6.173,100.0,5.9
My House in Umbria,Momentum,36730,Drama,Mystery,3.827,103.0,6.3
My Summer of Love,Contentfilm,9709,Drama,Romance,7.997,86.0,6.1
Team America: World Police,UIP,3989,Adventure,Action,11.799,98.0,6.7
Vanity Fair,UIP,11632,Drama,Romance,8.864,141.0,5.8
Super Size Me,Tartan,9372,Documentary,Comedy,9.578,100.0,6.7
Elektra,20th Fox,9947,Action,Fantasy,24.111,97.0,5.0
Ray,UIP,1677,Drama,Music,13.555,152.0,7.4
Ladder 49,BVI,11128,Drama,Action,19.697,115.0,6.4
Dear Frankie,Pathe,8981,Drama,Family,7.953,105.0,7.0
Meet the Fockers,UIP,693,Comedy,Romance,27.0,115.0,6.2
Assault on Precinct 13,Entertainment,8978,Action,Crime,16.831,109.0,6.1
Creep,Pathe,250574,Horror,Thriller,12.974,82.0,6.4
Sideways,20th Fox,9675,Comedy,Drama,12.895,127.0,7.0
2046,Tartan,844,Fantasy,Drama,12.044,128.0,7.2
Ocean's Twelve,Warner,163,Thriller,Crime,28.055,125.0,6.5
Racing Stripes,Momentum,6439,Comedy,Family,14.839,102.0,5.8
The Magic Roundabout,Pathe,16455,Animation,Family,8.906,85.0,5.4
The SpongeBob SquarePants Movie,UIP,11836,Family,Animation,61.955,87.0,6.9
Son of the Mask,Entertainment,10214,Fantasy,Comedy,31.467,94.0,4.2
Shall We Dance?,BVI,4380,Drama,Romance,17.171,107.0,6.3
Are We There Yet?,Sony Pictures,11637,Family,Adventure,23.942,95.0,5.6
In Good Company,Entertainment,1901,Comedy,Drama,7.994,109.0,6.0
Hide and Seek,20th Fox,11096,Horror,Mystery,19.415,101.0,6.4
Coach Carter,UIP,7214,Drama,History,28.439,136.0,7.5
The Life Aquatic with Steve Zissou,BVI,421,Adventure,Comedy,14.933,119.0,7.2
Hotel Rwanda,Entertainment,205,Drama,History,27.05,121.0,7.7
Boogeyman,UIP,8968,Thriller,Horror,11.84,89.0,5.0
Hitch,Sony Pictures,8488,Comedy,Drama,26.482,118.0,6.5
9 Songs,Optimum,27,Drama,Music,18.198,70.0,5.6
Robots,20th Fox,9928,Animation,Comedy,30.985,91.0,6.4
Constantine,Warner,561,Fantasy,Action,60.767,121.0,7.0
Pooh's Heffalump Movie,BVI,13682,Family,Animation,14.325,68.0,6.8
5x2,UGC,4974,Drama,Romance,6.051,90.0,6.4
Valiant,Entertainment,14175,Family,Animation,14.402,76.0,5.5
Melinda and Melinda,20th Fox,9688,Comedy,Drama,8.765,100.0,6.3
Mickybo and Me,UIP,55134,Drama,Comedy,3.937,95.0,6.9
The Ring Two,UIP,10320,Drama,Horror,44.145,110.0,5.7
Be Cool,20th Fox,4551,Comedy,Crime,11.59,118.0,5.4
Sahara,UIP,423453,Adventure,Animation,13.228,86.0,5.8
The Assassination of Richard Nixon,Metrodome,842,Drama,History,7.887,95.0,6.6
Bullet Boy,Verve,32566,Action,Crime,2.946,89.0,5.8
Man of the House,Sony Pictures,13498,Comedy,Action,12.429,100.0,5.7
The Interpreter,UIP,179,Crime,Thriller,16.057,128.0,6.3
The Wedding Date,Entertainment,6961,Comedy,Romance,11.7,88.0,6.8
Guess Who,20th Fox,11638,Comedy,Romance,10.17,105.0,5.9
Cursed,BVI,10012,Horror,Comedy,49.576,97.0,5.5
Beauty Shop,Verve,14177,Comedy,Romance,10.557,105.0,6.1
Tarnation,Optimum,1435,Documentary,Drama,4.26,91.0,7.0
Chicken Tikka Masala,Bollywood Films,31163,Comedy,Romance,2.826,90.0,4.5
The Hitchhiker's Guide to the Galaxy,BVI,7453,Adventure,Comedy,16.349,109.0,6.7
Kingdom of Heaven,20th Fox,1495,Drama,Action,34.382,144.0,6.8
Monster-in-Law,Entertainment,4379,Romance,Comedy,17.423,101.0,6.2
The Jacket,Warner,9667,Thriller,Mystery,9.963,103.0,6.9
A Good Woman,Vertigo,15184,Comedy,Romance,10.511,94.0,6.2
Seed of Chucky,Momentum,11249,Horror,Comedy,153.256,87.0,5.4
The Last Horror Movie,Tartan Films,25033,Horror,Thriller,2.926,76.0,5.5
House of Wax,Warner,10066,Horror,Drama,40.057,113.0,5.8
The Pacifier,BVI,10022,Comedy,Family,31.521,95.0,6.1
It's All Gone Pete Tong,Redbus,12109,Drama,Comedy,5.733,90.0,6.9
Sin City,BVI,187,Thriller,Action,29.377,124.0,7.4
The League of Gentlemen's Apocalypse,UIP,19723,Horror,Comedy,5.006,87.0,6.8
Stander,Momentum,18927,Action,Crime,5.046,116.0,6.6
Parineeta,UTV Comm,20651,Drama,Romance,2.84,131.0,6.4
Batman Begins,Warner,272,Action,Crime,52.931,140.0,7.7
We Don't Live Here Anymore,Redbus,23601,Drama,Romance,6.506,101.0,5.5
A Lot Like Love,BVI,8976,Comedy,Drama,13.618,107.0,6.8
In My Father's Den,Optimum,1126,Drama,Mystery,4.684,126.0,7.4
Headrush,Zanzibar,41885,Comedy,Crime,1.4,0.0,2.0
War of the Worlds,UIP,74,Adventure,Thriller,31.101,117.0,6.5
Yakeen,Venus,136688,Action,Thriller,1.693,116.0,5.0
The Descent,Pathe,9392,Adventure,Horror,27.461,99.0,7.0
Dus,Spark,58302,Action,Crime,3.738,146.0,5.1
Madagascar,UIP,953,Family,Animation,97.77,86.0,6.9
Wedding Crashers,Entertainment,9522,Comedy,Romance,22.155,119.0,6.5
Fantastic Four,20th Fox,166424,Action,Adventure,64.247,100.0,4.4
Silver City,Tartan,18711,Comedy,Drama,6.003,128.0,6.1
Charlie and the Chocolate Factory,Warner,118,Adventure,Comedy,109.068,115.0,7.0
Stealth,Sony,10048,Science Fiction,Action,15.398,121.0,5.3
The Skeleton Key,UIP,9913,Drama,Horror,20.63,104.0,6.6
The Devil's Rejects,Momentum,1696,Drama,Horror,14.434,107.0,6.8
Dear Wendy,Metrodome,10913,Comedy,Crime,4.445,105.0,5.7
The Island,Warner,1635,Action,Thriller,20.032,136.0,6.7
The Perfect Catch,20th Fox,450679,Romance,Drama,4.188,84.0,6.6
The Bad News Bears,UIP,23479,Family,Comedy,8.879,102.0,7.0
Spirit Trap,Revolver,22060,Thriller,Horror,3.748,91.0,4.5
Bewitched,Sony,9722,Comedy,Fantasy,13.021,102.0,5.0
The Perfect Man,UIP,15648,Comedy,Drama,9.867,100.0,6.1
Barsaat,Tip Top,46375,Romance,Action,2.766,165.0,4.9
Me and You and Everyone We Know,Optimum,1382,Comedy,Drama,6.01,91.0,7.0
The Dukes of Hazzard,Warner,6519,Comedy,Adventure,15.337,104.0,5.5
The Cave,Entertainment,9042,Action,Adventure,14.584,97.0,5.3
No Entry,Eros,20390,Comedy,Romance,4.09,164.0,6.1
Heidi,The Works,365045,Adventure,Family,18.562,111.0,7.1
Red Eye,UIP,11460,Horror,Thriller,14.821,85.0,6.3
The Business,Pathe,5145,Drama,Action,5.709,96.0,6.3
The Longest Yard,Sony,4985,Crime,Comedy,8.275,121.0,6.7
Cinderella Man,BVI,921,Romance,Drama,18.783,144.0,7.5
Salaam Namaste,Yash Raj,15084,Drama,Comedy,4.787,158.0,6.0
Wolf Creek,Optimum,9885,Horror,Thriller,17.562,104.0,6.2
Must Love Dogs,Warner,11648,Romance,Comedy,15.148,98.0,5.9
Revolver,Redbus,10851,Drama,Thriller,13.962,111.0,6.4
Land of the Dead,UIP,11683,Horror,Science Fiction,18.925,93.0,6.2
A History of Violence,Entertainment,59,Drama,Thriller,19.259,96.0,7.2
Four Brothers,UIP,8292,Action,Crime,21.573,109.0,6.7
Rock School,Icon,23825,Action,Documentary,4.454,93.0,6.2
Serenity,UIP,16320,Science Fiction,Action,25.522,119.0,7.4
Kinky Boots,BVI,16367,Comedy,Drama,11.358,107.0,6.7
Night Watch,20th Fox,38651,TV Movie,Action,5.541,94.0,4.6
Rag Tale,Metrodome,101129,Comedy,Drama,1.742,123.0,4.5
Lord of War,Momentum,1830,Crime,Drama,35.412,122.0,7.3
Corpse Bride,Warner,3933,Romance,Fantasy,141.492,77.0,7.5
Sky High,BVI,11459,Adventure,Comedy,24.279,100.0,6.2
Into the Blue,20th Fox,11968,Action,Thriller,20.113,110.0,5.8
The Legend of Zorro,Sony,1656,Action,Adventure,21.934,129.0,6.1
The Brothers Grimm,BVI,4442,Adventure,Fantasy,28.034,118.0,5.8
Elizabethtown,UIP,9621,Comedy,Drama,13.019,123.0,6.2
In Her Shoes,20th Fox,11931,Comedy,Drama,12.725,130.0,6.1
The Libertine,Entertainment,7548,Drama,Romance,10.319,114.0,5.9
Factotum,Icon,10475,Comedy,Drama,6.456,94.0,6.3
Separate Lies,20th Fox,38583,Romance,Drama,4.892,85.0,5.7
Flightplan,BVI,9315,Thriller,Drama,22.014,98.0,6.4
The Exorcism of Emily Rose,Sony,8643,Crime,Drama,33.901,122.0,6.5
Doom,UIP,8814,Action,Horror,27.525,105.0,5.1
Transporter 2,20th Fox,9335,Action,Thriller,35.379,87.0,6.3
Neal 'n' Nikki,Yash Raj,46415,Comedy,Romance,2.666,122.0,4.1
Bluff Master,UTV Comms,571435,Crime,Thriller,0.756,153.0,5.5
Peter Pan,UIP,10693,Animation,Family,60.74,77.0,7.2
Love Actually,UIP,508,Comedy,Romance,35.314,135.0,7.1
Cold Mountain,BVI,2289,Adventure,Drama,18.535,154.0,6.9
Freaky Friday,BVI,10330,Comedy,Family,31.313,97.0,6.4
Elf,Entertainment,10719,Comedy,Family,24.068,97.0,6.6
Brother Bear,BVI,10009,Adventure,Animation,78.503,85.0,7.2
Out of Time,Momentum,2116,Thriller,Crime,19.724,105.0,6.3
S.W.A.T.,Col/TriStar,9257,Action,Thriller,24.759,117.0,6.1
American Splendor,Optimum,2771,Comedy,Drama,8.147,101.0,7.3
Touching the Void,Pathe,11194,Documentary,Action,8.534,106.0,7.7
Calendar Girls,BVI,8696,Drama,Comedy,8.562,108.0,6.6
Intermission,BVI,16941,Comedy,Crime,6.333,105.0,6.3
The Mother,Momentum,59210,Drama,Romance,3.353,112.0,6.1
The Shape of Things,Momentum,22958,Comedy,Drama,7.049,96.0,6.2
The Last Samurai,Warner,616,Drama,Action,29.252,154.0,7.5
Lost in Translation,Momentum,153,Comedy,Drama,25.259,102.0,7.4
In the Cut,Pathe,10944,Mystery,Thriller,8.721,119.0,5.2
American Cousins,Bard,15312,Drama,Crime,3.347,115.0,5.7
Paycheck,UIP,9620,Action,Adventure,17.906,119.0,6.2
Runaway Jury,20th Fox,11329,Drama,Thriller,18.123,127.0,6.9
Girl with a Pearl Earring,Pathe,3635,Drama,Romance,11.726,101.0,6.6
A Mighty Wind,Warner,13370,Comedy,Music,9.021,91.0,6.9
Big Fish,Col/Tristar,587,Adventure,Fantasy,29.506,125.0,7.8
Cold Creek Manor,BVI,12767,Mystery,Thriller,9.847,118.0,5.3
Sylvia,Icon,28200,Drama,Romance,7.3,109.0,5.8
The Emperor's New Clothes,Pathe,52258,Comedy,Drama,3.679,107.0,6.7
School of Rock,UIP,1584,Comedy,Music,25.312,110.0,7.1
Something's Gotta Give,Warner,6964,Drama,Comedy,14.791,128.0,6.6
The Dreamers,20th Fox,1278,Drama,Romance,22.23,112.0,7.3
Dogville,Icon,553,Crime,Drama,18.789,178.0,7.8
The Haunted Mansion,BVI,10756,Thriller,Fantasy,16.521,88.0,5.6
Looney Tunes: Back in Action,Warner,10715,Animation,Comedy,19.491,93.0,6.4
It's All About Love,Pathe,12777,Drama,Romance,7.969,104.0,5.6
Swimming Pool,UGC,302,Crime,Thriller,12.166,102.0,6.5
Along Came Polly,UIP,5966,Comedy,Romance,23.382,90.0,6.0
The Missing,Col/TriStar,12146,Thriller,Western,10.605,135.0,6.3
21 Grams,Icon,470,Drama,Crime,20.756,124.0,7.3
Uptown Girls,20th Fox,14926,Family,Comedy,13.526,92.0,6.5
Suzie Gold,Pathe,30626,Drama,Comedy,0.973,94.0,7.5
Mona Lisa Smile,Col/TriStar,11820,Drama,Romance,17.228,117.0,6.9
Starsky & Hutch,BVI,9384,Comedy,Crime,19.548,101.0,5.8
Northfork,Metrodome,32235,Fantasy,Drama,4.712,103.0,6.1
One Last Chance,Momentum,123426,Comedy,Drama,1.061,96.0,6.3
Grand Theft Parsons,Redbus,16433,Comedy,Drama,2.926,88.0,5.6
Dawn of the Dead,Entertainment,924,Action,Horror,36.631,101.0,7.0
Under the Tuscan Sun,BVI,10934,Romance,Comedy,12.01,113.0,6.8
The Station Agent,BVI,2056,Drama,Comedy,9.611,88.0,7.5
Fear X,Verve,37696,Thriller,Mystery,6.382,91.0,5.7
The Cat in the Hat,UIP,10588,Family,Fantasy,51.85,82.0,5.3
Gothika,Col/TriStar,4970,Horror,Thriller,31.555,98.0,6.1
50 First Dates,Col/TriStar,1824,Comedy,Romance,32.773,99.0,6.8
Shaun of the Dead,UIP,747,Horror,Comedy,34.029,99.0,7.5
The Butterfly Effect,Icon,1954,Science Fiction,Thriller,35.949,113.0,7.5
The Girl Next Door,20th Fox,10591,Comedy,Romance,45.105,110.0,6.7
Hidalgo,BVI,2023,Western,Adventure,15.556,136.0,6.8
Song for a Raggy Boy,Contentfilm,49890,Drama,History,4.123,94.0,7.5
Taking Lives,Warner,11081,Action,Crime,19.151,103.0,6.4
Win a Date with Tad Hamilton!,UIP,13476,Comedy,Romance,9.357,95.0,5.7
Monsieur N.,Redbus,47471,Drama,Thriller,1.762,120.0,6.6
Eternal Sunshine of the Spotless Mind,Momentum,38,Science Fiction,Drama,47.907,108.0,8.1
Secret Window,Col/TriStar,1586,Mystery,Thriller,34.369,96.0,6.6
Our House,BVI,414191,Horror,Drama,10.009,90.0,5.6
I'll Sleep When I'm Dead,Lagoon,3515,Drama,Action,7.398,97.0,5.4
Van Helsing,UIP,7131,Horror,Adventure,47.782,132.0,6.3
Laws of Attraction,Entertainment,11141,Comedy,Romance,9.603,90.0,5.7
Imagining Argentina,UIP,34036,Drama,Romance,4.645,107.0,5.6
Troy,Warner,652,Adventure,History,54.035,163.0,7.1
Shattered Glass,Icon,13537,Drama,History,7.878,94.0,6.9
Bad Education,Pathe,530723,Drama,Crime,12.621,108.0,6.8
The Day After Tomorrow,20th Fox,435,Action,Adventure,29.004,124.0,6.5
